Overall Qual,Gr Liv Area,Garage Cars,Garage Area,Total Bsmt SF,1st Flr SF,Year Built,Year Remod/Add,Full Bath,TotRms AbvGrd,Neighborhood,SalePrice,Age of House
6,1656,2.0,528.0,1080.0,1656,1960,1960,1,7,NAmes,215000,64
5,896,1.0,730.0,882.0,896,1961,1961,1,5,NAmes,105000,63
6,1329,1.0,312.0,1329.0,1329,1958,1958,1,6,NAmes,172000,66
7,2110,2.0,522.0,2110.0,2110,1968,1968,2,8,NAmes,244000,56
5,1629,2.0,482.0,928.0,928,1997,1998,2,6,Gilbert,189900,26
6,1604,2.0,470.0,926.0,926,1998,1998,2,7,Gilbert,195500,26
8,1338,2.0,582.0,1338.0,1338,2001,2001,2,6,StoneBr,213500,23
8,1280,2.0,506.0,1280.0,1280,1992,1992,2,5,StoneBr,191500,32
8,1616,2.0,608.0,1595.0,1616,1995,1996,2,5,StoneBr,236500,28
7,1804,2.0,442.0,994.0,1028,1999,1999,2,7,Gilbert,189000,25
6,1655,2.0,440.0,763.0,763,1993,1994,2,7,Gilbert,175900,30
6,1187,2.0,420.0,1168.0,1187,1992,2007,2,6,Gilbert,185000,17
6,1465,2.0,393.0,789.0,789,1998,1998,2,7,Gilbert,180400,26
7,1341,2.0,506.0,1300.0,1341,1990,1990,1,5,Gilbert,171500,34
8,1502,2.0,528.0,1488.0,1502,1985,1985,1,4,StoneBr,212000,39
8,3279,3.0,841.0,1650.0,1690,2003,2003,3,12,StoneBr,538000,21
8,1752,2.0,492.0,559.0,1080,1988,2005,2,8,Gilbert,164000,19
9,1856,3.0,834.0,1856.0,1856,2010,2010,1,8,StoneBr,394432,14
4,864,2.0,400.0,864.0,864,1951,1951,1,4,Gilbert,141000,73
6,2073,2.0,500.0,1542.0,2073,1978,1988,2,7,NWAmes,210000,36
6,1844,2.0,546.0,1844.0,1844,1977,1977,2,7,NWAmes,190000,47
7,1173,2.0,528.0,1053.0,1173,1974,1974,2,6,NWAmes,170000,50
7,1674,2.0,663.0,814.0,814,2000,2000,2,7,Somerst,216000,24
6,1004,2.0,480.0,1004.0,1004,1970,1970,1,5,NAmes,149000,54
5,1078,2.0,500.0,1078.0,1078,1971,2008,1,6,NAmes,149900,16
5,1056,1.0,304.0,1056.0,1056,1968,1968,1,6,NAmes,142000,56
4,882,2.0,525.0,882.0,882,1970,1970,1,4,NAmes,126000,54
4,864,0.0,0.0,864.0,864,1971,1971,1,5,NAmes,115000,53
7,1337,2.0,511.0,1405.0,1337,1999,1999,2,5,NAmes,184000,25
6,987,1.0,264.0,483.0,483,1971,1971,1,5,BrDale,96000,53
5,1092,1.0,320.0,525.0,525,1971,1971,1,6,BrDale,105500,53
6,1092,1.0,264.0,525.0,525,1971,1971,1,6,BrDale,88000,53
6,1069,2.0,440.0,1069.0,1069,1977,1977,2,4,NPkVill,127500,47
6,1456,2.0,440.0,855.0,855,1975,1975,2,6,NPkVill,149900,49
7,836,1.0,308.0,836.0,836,1975,1975,1,4,NPkVill,120000,49
6,1456,2.0,440.0,855.0,855,1978,1978,2,7,NPkVill,146000,46
9,2334,3.0,751.0,1590.0,1627,2009,2010,2,10,NridgHt,376162,14
8,1704,3.0,772.0,1704.0,1704,2007,2008,2,7,NridgHt,306000,16
9,1940,3.0,606.0,1930.0,1940,2009,2010,2,8,NridgHt,395192,14
8,1544,3.0,868.0,1544.0,1544,2009,2010,2,7,NridgHt,290941,14
7,1541,2.0,532.0,1541.0,1541,2005,2005,2,7,NridgHt,220000,19
9,1698,3.0,730.0,1698.0,1698,2005,2005,2,7,NridgHt,275000,19
8,1822,3.0,678.0,1822.0,1822,2005,2006,2,8,NridgHt,259000,18
7,1535,2.0,532.0,1517.0,1535,2004,2004,2,7,NridgHt,214000,20
9,2364,3.0,820.0,2330.0,2364,2009,2010,2,11,NridgHt,611657,14
7,1358,2.0,484.0,1358.0,1358,2009,2010,2,6,NridgHt,224000,14
9,2696,3.0,958.0,2846.0,2696,2003,2004,2,10,NridgHt,500000,20
8,2250,3.0,756.0,1671.0,1687,2002,2002,2,7,NridgHt,320000,22
9,1752,2.0,576.0,1752.0,1752,2005,2005,2,6,NridgHt,319900,19
8,1370,2.0,484.0,1370.0,1370,2006,2006,2,6,NridgHt,205000,18
7,1626,2.0,474.0,764.0,764,2003,2003,2,6,NridgHt,175500,21
6,1324,2.0,430.0,1324.0,1324,2005,2005,2,6,Gilbert,199500,19
7,1145,2.0,437.0,1145.0,1145,2006,2006,2,6,Blmngtn,160000,18
8,1269,2.0,430.0,1256.0,1269,2004,2005,2,6,Blmngtn,192000,19
7,1374,2.0,400.0,384.0,744,2004,2004,2,7,Gilbert,184500,20
6,1960,2.0,440.0,860.0,860,2002,2002,2,8,Gilbert,216500,22
7,1733,2.0,433.0,847.0,847,2004,2004,2,7,Gilbert,185088,20
7,1430,2.0,400.0,384.0,774,2000,2000,2,7,Gilbert,180000,24
7,2035,2.0,434.0,884.0,884,2001,2001,2,8,Gilbert,222500,23
9,2599,3.0,779.0,1393.0,1422,1999,1999,2,10,NoRidge,333168,25
8,2475,3.0,962.0,1629.0,1645,1998,1998,2,7,NoRidge,355000,26
7,1720,2.0,527.0,1720.0,1720,1996,1996,2,7,NoRidge,260400,28
8,2622,2.0,712.0,1463.0,1500,1994,1995,2,9,NoRidge,325000,29
8,2270,3.0,671.0,1152.0,1164,1999,2007,2,9,NoRidge,290000,17
7,1839,2.0,486.0,1195.0,1195,1998,1998,2,7,NoRidge,221000,26
8,3238,3.0,666.0,2033.0,2053,1995,1996,2,9,NoRidge,410000,28
8,1595,3.0,880.0,1595.0,1595,2005,2006,2,6,Somerst,221500,18
7,1218,2.0,676.0,1218.0,1218,2009,2010,2,4,Somerst,204500,14
7,1547,2.0,614.0,756.0,764,2009,2009,2,7,Somerst,215200,15
8,1566,2.0,750.0,1566.0,1566,2008,2008,2,7,Somerst,262500,16
7,1947,2.0,678.0,991.0,991,2004,2005,2,8,Somerst,254900,19
6,1468,2.0,528.0,1468.0,1468,2005,2005,2,6,Somerst,271500,19
7,2084,2.0,618.0,956.0,956,2004,2004,2,8,SawyerW,233000,20
7,1659,2.0,484.0,831.0,831,2004,2004,2,8,SawyerW,181000,20
7,2110,2.0,463.0,948.0,1222,1994,2002,2,8,SawyerW,205000,22
6,923,1.0,264.0,923.0,923,1980,1980,2,5,SawyerW,143000,44
6,1845,2.0,462.0,1055.0,1055,1992,1992,2,8,SawyerW,189000,32
6,918,1.0,264.0,918.0,918,1979,1979,2,5,SawyerW,99500,45
6,752,1.0,264.0,744.0,752,1984,1984,1,4,SawyerW,125000,40
7,1744,2.0,457.0,996.0,1014,1993,2003,2,7,SawyerW,194500,21
6,1097,2.0,480.0,1040.0,1097,1984,1985,2,6,SawyerW,152000,39
6,1564,2.0,476.0,650.0,888,1980,1981,2,7,SawyerW,171000,43
5,1012,1.0,429.0,816.0,1012,1920,1950,1,5,SawyerW,67500,74
6,1902,2.0,539.0,0.0,1318,1978,1978,2,8,Sawyer,112000,46
5,1155,2.0,576.0,1109.0,1155,1961,1995,1,6,Sawyer,148000,29
5,894,1.0,336.0,894.0,894,1965,2009,1,5,Sawyer,138500,15
5,900,1.0,280.0,882.0,900,1967,1967,1,5,Sawyer,122000,57
5,1040,1.0,308.0,1040.0,1040,1963,1963,1,5,Sawyer,133000,61
5,1040,1.0,260.0,1040.0,1040,1962,2010,1,6,Sawyer,127000,14
6,1494,2.0,461.0,1208.0,1494,1974,2002,2,7,Sawyer,169000,22
7,1923,2.0,564.0,750.0,1061,1992,1992,2,8,NoRidge,190000,32
8,2349,3.0,762.0,1231.0,1251,1993,1993,2,9,NoRidge,362500,31
